sent_id	token_id	upos	head	deprel	lang
1001	1	NOUN	3	nmod	te
1001	2	VERB	3	dep	en
1001	3	VERB	0	root	te
1002	1	NOUN	2	nmod	en
1002	2	NOUN	0	root	en
1002	3	ADJ	2	advmod	te
1003	1	NOUN	3	nmod	en
1003	2	ADP	3	case	te
1003	3	NOUN	4	nsubj	en
1003	4	VERB	0	root	te
1004	1	VERB	4	advcl	te
1004	2	PRON	3	nmod	te
1004	3	NOUN	4	obj	en
1004	4	VERB	0	root	te
1005	1	PRON	4	nsubj	te
1005	2	DET	3	det	te
1005	3	NOUN	4	obj	en
1005	4	VERB	0	root	te
1006	1	PRON	4	nsubj	te
1006	2	DET	3	det	te
1006	3	NOUN	4	obj	en
1006	4	VERB	0	root	te
1007	1	PRON	5	nsubj	te
1007	2	DET	4	det	te
1007	3	ADJ	4	amod	en
1007	4	NOUN	5	obl	te
1007	5	VERB	0	root	te
1008	1	PRON	2	nmod	te
1008	2	NOUN	0	root	en
1008	3	ADV	2	advmod	te
1008	4	ADV	2	advmod	te
1008	5	NOUN	2	obj	te
1009	1	VERB	0	root	te
1009	2	PRON	1	obj	te
1009	3	NOUN	1	obj	en
1010	1	PRON	2	nmod	te
1010	2	NOUN	3	nsubj	en
1010	3	PRON	0	root	te
1011	1	PRON	2	nsubj	te
1011	2	VERB	0	root	te
1011	3	NOUN	2	xcomp	en
1012	1	PRON	4	nsubj	te
1012	2	ADV	4	advmod	te
1012	3	NOUN	4	obj	en
1012	4	VERB	0	root	te
1013	1	PRON	3	nsubj	te
1013	2	NOUN	3	compound	en
1013	3	VERB	0	root	te
1014	1	PRON	3	nsubj	te
1014	2	NOUN	3	nmod	te
1014	3	NOUN	0	root	en
1015	1	PRON	3	obj	te
1015	2	NOUN	3	nsubj	en
1015	3	VERB	0	root	te
1016	1	NOUN	2	obj	en
1016	2	VERB	4	advcl	te
1016	3	PRON	4	nsubj	te
1016	4	VERB	0	root	te
1017	1	PROPN	4	nsubj	te
1017	2	PROPN	4	iobj	te
1017	3	NOUN	4	obj	en
1017	4	VERB	0	root	te
1018	1	PRON	3	nsubj	te
1018	2	NOUN	3	obj	en
1018	3	VERB	0	root	te
1019	1	PRON	4	nsubj	te
1019	2	PROPN	3	compound	en
1019	3	PRON	4	obj	te
1019	4	VERB	0	root	te
1020	1	PRON	3	nsubj	te
1020	2	NOUN	3	obj	en
1020	3	VERB	0	root	te
1021	1	PRON	3	nsubj	te
1021	2	NOUN	3	obj	en
1021	3	VERB	0	root	te
1022	1	PRON	3	nsubj	te
1022	2	NOUN	3	obj	en
1022	3	VERB	0	root	te
1023	1	PRON	4	nsubj	te
1023	2	DET	3	det	te
1023	3	NOUN	4	nmod	en
1023	4	NOUN	0	root	te
1024	1	PRON	2	nmod	te
1024	2	NOUN	5	obl	te
1024	3	DET	4	det	te
1024	4	NOUN	5	nsubj	en
1024	5	VERB	0	root	te
1025	1	PRON	5	nsubj	te
1025	2	DET	4	det	te
1025	3	NOUN	4	compound	en
1025	4	NOUN	5	obj	en
1025	5	VERB	0	root	te
1026	1	PROPN	5	nsubj	te
1026	2	ADV	5	advmod	te
1026	3	NUM	4	nummod	en
1026	4	NOUN	5	obl	en
1026	5	VERB	0	root	te
1027	1	NOUN	3	nummod	te
1027	2	NOUN	3	nsubj	en
1027	3	VERB	0	root	en
1027	4	VERB	3	obj	te
1028	1	PRON	2	nsubj	te
1028	2	PROPN	3	nmod	en
1028	3	NOUN	0	root	en
1028	4	VERB	3	nsubj	te
1028	5	ADJ	3	xcomp	te
1029	1	PROPN	2	nsubj	en
1029	2	PRON	3	obl	te
1029	3	DET	4	det	_
1029	4	NOUN	0	root	en
1029	5	VERB	4	compound	te
1030	1	PROPN	2	compound	en
1030	2	PROPN	3	nsubj	en
1030	3	ADV	4	advmod	te
1030	4	ADJ	0	root	te
1031	1	PRON	5	iobj	te
1031	2	DET	3	det	te
1031	3	NOUN	5	obj	en
1031	4	VERB	5	compound	te
1031	5	VERB	0	root	te
1032	1	PRON	3	nsubj	te
1032	2	NOUN	3	obj	en
1032	3	VERB	0	root	te
1033	1	PRON	3	nsubj	te
1033	2	NOUN	3	obj	en
1033	3	VERB	0	root	te
1034	1	NOUN	3	nsubj	en
1034	2	NOUN	3	obj	en
1034	3	VERB	0	root	te
1035	1	PRON	3	nsubj	te
1035	2	NOUN	3	obj	en
1035	3	VERB	0	root	te
1036	1	DET	2	det	te
1036	2	NOUN	0	root	en
1036	3	NOUN	2	nmod	en
1036	4	VERB	2	nsubj	te
1	1	NOUN	3	nmod	en
1	2	NOUN	3	nmod	en
1	3	VERB	0	root	en
1	4	VERB	3	dep	te
2	1	NOUN	3	nmod	te
2	2	VERB	3	dep	en
2	3	VERB	0	root	te
3	1	NOUN	2	nmod	en
3	2	NOUN	0	root	en
3	3	ADJ	2	advmod	te
4	1	NOUN	3	nmod	en
4	2	ADP	3	case	te
4	3	NOUN	4	nsubj	en
4	4	VERB	0	root	te
5	1	VERB	4	advcl	te
5	2	PRON	3	nmod	te
5	3	NOUN	4	obj	en
5	4	VERB	0	root	te
6	1	PRON	4	nsubj	te
6	2	DET	3	det	te
6	3	NOUN	4	obj	en
6	4	VERB	0	root	te
7	1	PRON	4	nsubj	te
7	2	DET	3	det	te
7	3	NOUN	4	obj	en
7	4	VERB	0	root	te
9	1	PRON	5	nsubj	te
9	2	DET	4	det	te
9	3	ADJ	4	amod	en
9	4	NOUN	5	obl	te
9	5	VERB	0	root	te
10	1	PRON	2	nmod	te
10	2	NOUN	0	root	en
10	3	ADV	2	advmod	te
10	4	ADV	2	advmod	te
10	5	NOUN	2	obj	te
11	1	VERB	0	root	te
11	2	PRON	1	obj	te
11	3	NOUN	1	obj	en
12	1	PRON	2	nmod	te
12	2	NOUN	3	nsubj	en
