sent_id	token_id	upos	head	deprel	lang
1	1	NOUN	2	nmod	tr
1	2	NOUN	3	obj	tr
1	3	NOUN	4	compound	en
1	4	VERB	5	nsubj	tr
1	5	ADJ	0	root	tr
1	6	AUX	5	aux	tr
2	1	PRON	2	obj	tr
2	2	VERB	3	nsubj	tr
2	3	NOUN	0	root	tr
2	4	SCONJ	12	mark	tr
2	5	ADV	12	advmod	en
2	6	DET	8	det	en
2	7	NOUN	8	nmod	tr
2	8	NOUN	10	obl	tr
2	9	NOUN	10	compound	tr
2	10	VERB	12	acl	tr
2	11	DET	12	det	tr
2	12	NOUN	3	conj	tr
3	1	PRON	5	advcl	tr
3	2	ADP	1	case	tr
3	3	DET	4	det	tr
3	4	NOUN	5	compound	tr
3	5	VERB	0	root	tr
4	1	ADV	2	xcomp	tr
4	2	VERB	0	root	tr
4	3	PRON	2	obl	tr
5	1	ADV	2	advmod	tr
5	2	VERB	0	root	tr
5	3	NOUN	2	nsubj	tr
6	1	PRON	7	obl	tr
6	2	CCONJ	1	advmod	tr
6	3	ADP	6	compound	en
6	4	DET	6	det	en
6	5	ADJ	6	amod	en
6	6	NOUN	7	compound	en
6	7	VERB	0	root	tr
6	8	CCONJ	7	discourse	tr
7	1	NOUN	2	obl	tr
7	2	VERB	5	advcl	tr
7	3	DET	4	det	tr
7	4	PROPN	5	obl	tr
7	5	VERB	0	root	tr
7	7	VERB	5	parataxis	tr
8	1	DET	2	det	tr
8	2	NOUN	3	obj	tr
8	3	VERB	0	root	tr
8	4	PRON	7	discourse	tr
8	5	PRON	7	nsubj	en
8	6	AUX	7	aux	en
8	7	VERB	3	parataxis	en
8	8	PRON	7	obj	en
9	1	PRON	5	discourse	tr
9	2	CCONJ	1	advmod	tr
9	3	NOUN	5	nsubj	tr
9	4	ADV	5	advmod	en
9	5	ADJ	0	root	en
9	6	AUX	5	aux	tr
9	7	AUX	5	aux	tr
10	1	PROPN	3	nsubj	tr
10	2	PROPN	1	flat	tr
10	3	VERB	6	advcl	tr
10	4	PRON	6	nsubj	en
10	5	AUX	6	aux	en
10	6	VERB	0	root	en
10	7	CCONJ	6	discourse	tr
11	1	ADV	2	advmod	tr
11	2	ADJ	3	amod	tr
11	3	VERB	4	nmod	tr
11	4	NOUN	6	nsubj	tr
11	5	PRON	6	obj	tr
11	6	VERB	0	root	tr
12	1	PRON	2	nsubj	en
12	2	VERB	0	root	en
12	3	CCONJ	4	cc	en
12	4	VERB	2	conj	en
12	5	PRON	4	obj	en
12	6	ADP	12	case	en
12	7	DET	12	det	en
12	8	ADV	10	advmod	tr
12	9	VERB	10	obj	tr
12	10	VERB	11	amod	tr
12	11	ADV	12	advmod	en
12	12	NOUN	4	obl	en
13	1	NOUN	2	compound	en
13	2	NOUN	4	obj	tr
13	3	NOUN	4	compound	tr
13	4	VERB	0	root	tr
14	1	CCONJ	6	discourse	tr
14	2	ADV	3	advmod	tr
14	3	ADJ	6	amod	tr
14	4	CCONJ	3	cc	tr
14	5	ADJ	3	conj	tr
14	6	PRON	0	root	tr
14	7	ADV	8	advmod	en
14	8	ADJ	6	parataxis	en
14	9	CCONJ	10	cc	en
14	10	ADJ	8	conj	en
15	1	DET	2	det	en
15	2	NOUN	3	obj	tr
15	3	VERB	0	root	tr
16	1	NOUN	2	obj	tr
16	2	VERB	0	root	tr
16	4	CCONJ	6	cc	tr
16	5	ADV	6	advmod	tr
16	6	ADJ	2	conj	en
17	1	ADJ	3	amod	en
17	2	DET	3	det	tr
17	3	NOUN	4	nsubj	en
17	4	ADJ	0	root	tr
17	5	ADV	4	advmod	tr
18	1	VERB	0	root	en
18	3	DET	4	det	tr
18	4	NOUN	1	parataxis	tr
19	1	DET	7	advmod	en
19	2	ADP	1	fixed	en
19	3	DET	1	fixed	en
19	4	ADJ	1	fixed	en
19	5	NOUN	7	obl	tr
19	6	NOUN	7	compound	tr
19	7	VERB	0	root	tr
20	1	VERB	0	root	en
20	2	ADP	3	case	en
20	3	PRON	1	obl	en
20	4	DET	5	det	tr
20	5	NOUN	1	discourse	tr
21	1	NOUN	3	discourse	en
21	3	PRON	4	nsubj	en
21	4	VERB	0	root	en
21	5	ADV	6	advmod	tr
21	6	ADJ	8	amod	tr
21	7	DET	8	det	tr
21	8	NOUN	9	nsubj	tr
21	9	VERB	4	ccomp	tr
22	1	NOUN	3	discourse	tr
22	3	NOUN	4	obl	tr
22	4	VERB	0	root	tr
22	6	PRON	7	nsubj	en
22	7	VERB	4	parataxis	en
22	8	ADJ	7	discourse	en
23	1	PRON	3	nsubj	tr
23	2	ADV	3	advmod	tr
23	3	ADJ	0	root	en
23	4	AUX	3	aux	tr
23	5	CCONJ	3	discourse	tr
24	1	VERB	0	root	en
24	2	SCONJ	6	mark	en
24	3	DET	4	det	tr
24	4	NOUN	6	obl	tr
24	5	PRON	6	obl	tr
24	6	VERB	1	ccomp	tr
25	1	PRON	6	nsubj	tr
25	2	NOUN	5	obj	tr
25	3	NUM	4	nummod	tr
25	4	NOUN	5	obl	tr
25	5	NOUN	6	compound	en
25	6	VERB	7	xcomp	tr
25	7	VERB	10	advcl	tr
25	8	DET	9	det	en
25	9	NOUN	10	nsubj	en
25	10	VERB	0	root	en
25	11	VERB	10	xcomp	en
26	1	VERB	0	root	tr
26	3	VERB	1	conj	tr
27	1	VERB	3	discourse	tr
27	2	NOUN	3	compound	en
27	3	VERB	0	root	tr
28	1	PRON	2	nsubj	en
28	2	ADJ	0	root	en
28	4	ADV	6	advmod	tr
28	5	ADV	6	advmod	tr
28	6	VERB	2	parataxis	tr
29	1	ADV	3	advmod	en
29	2	ADV	3	advmod	tr
29	3	VERB	0	root	tr
30	1	ADP	4	discourse	en
30	2	NOUN	1	fixed	en
30	3	NOUN	4	obl	tr
30	4	VERB	0	root	tr
30	6	VERB	4	parataxis	tr
30	7	AUX	6	aux	tr
30	8	PART	6	discourse	tr
30	9	PRON	11	nmod	tr
30	10	ADP	9	case	tr
30	11	NOUN	6	obj	tr
31	1	NOUN	5	nmod	tr
31	2	ADV	3	advmod	tr
31	3	ADJ	5	amod	tr
31	4	NOUN	5	compound	en
31	5	NOUN	6	obl	tr
31	6	ADJ	0	root	tr
31	7	ADJ	6	fixed	tr
31	9	NOUN	10	nsubj	en
31	10	VERB	6	parataxis	en
31	11	NOUN	10	obj	en
32	1	NOUN	3	nsubj	en
32	2	ADV	3	advmod	en
32	3	VERB	0	root	tr
32	4	SCONJ	6	mark	tr
32	5	VERB	6	obj	tr
32	6	VERB	3	ccomp	tr
33	1	PROPN	8	nsubj	tr
33	2	PRON	8	obj	tr
33	3	PRON	4	obj	tr
33	4	NOUN	5	compound	en
33	5	VERB	8	advcl	tr
33	6	SCONJ	5	mark	tr
33	7	AUX	8	aux	tr
33	8	VERB	0	root	tr
34	1	ADJ	2	amod	tr
34	2	NOUN	4	obl	tr
34	3	NOUN	4	compound	en
34	4	NOUN	5	compound	en
34	5	VERB	0	root	tr
35	1	NOUN	3	discourse	tr
35	2	ADV	3	advmod	en
35	3	PRON	0	root	tr
35	4	PROPN	3	nsubj	tr
36	1	NOUN	6	nsubj	tr
36	2	ADV	3	advmod	tr
36	3	ADJ	4	amod	en
36	4	NOUN	5	obj	tr
36	5	VERB	6	xcomp	tr
36	6	VERB	8	ccomp	tr
36	7	SCONJ	6	mark	tr
36	8	VERB	0	root	tr
37	1	NOUN	4	obl	tr
37	2	NOUN	3	compound	tr
37	3	VERB	4	advcl	tr
37	4	VERB	9	acl	tr
37	5	NUM	6	nummod	tr
37	6	NOUN	9	amod	tr
37	7	PROPN	9	nmod	tr
37	8	PROPN	7	flat	tr
37	9	NOUN	0	root	tr
38	1	NOUN	5	compound	tr
38	2	ADJ	4	amod	en
38	3	DET	4	det	tr
38	4	NOUN	5	nsubj	tr
38	5	VERB	0	root	tr
39	1	ADV	9	advmod	tr
39	3	CCONJ	1	discourse	en
39	4	ADV	3	advmod	en
39	6	ADV	9	advmod	tr
39	7	NOUN	8	nmod	tr
39	8	NOUN	9	obl	tr
39	9	VERB	11	acl	tr
39	10	DET	11	det	tr
39	11	NOUN	0	root	tr
40	1	VERB	0	root	tr
40	2	PRON	1	nsubj	tr
40	3	PART	1	discourse	tr
41	1	PROPN	3	nmod	tr
41	2	NOUN	1	flat	tr
41	3	NOUN	4	obj	tr
41	4	VERB	0	root	tr
42	1	ADV	2	advmod	tr
42	2	VERB	7	advcl	tr
42	3	NOUN	2	obl	tr
42	4	PRON	7	nsubj	tr
42	5	ADV	7	advmod	tr
42	6	ADV	7	advmod	en
42	7	ADJ	0	root	en
43	1	VERB	0	root	en
43	2	PART	1	advmod	en
43	3	VERB	1	xcomp	en
43	4	ADV	3	advmod	en
43	5	PRON	1	discourse	tr
44	1	ADV	0	root	en
44	2	ADP	3	case	en
44	3	PROPN	1	obl	tr
45	1	PRON	5	obl	tr
45	2	VERB	3	nmod	en
45	3	NOUN	4	obj	en
45	4	NOUN	5	compound	en
45	5	VERB	0	root	tr
45	6	AUX	5	aux	tr
46	1	PRON	6	nsubj	tr
46	2	DET	3	det	tr
46	3	NOUN	6	obj	tr
46	4	DET	5	det	tr
46	5	NOUN	6	obl	tr
46	6	VERB	0	root	tr
47	1	PRON	3	nsubj	en
47	2	PART	3	advmod	en
47	3	VERB	0	root	en
47	4	PART	6	mark	en
47	5	PRON	6	obj	tr
47	6	VERB	3	xcomp	tr
47	7	DET	8	det	tr
47	8	NOUN	3	discourse	tr
48	1	ADV	2	advmod	tr
48	2	ADJ	0	root	tr
48	3	ADP	5	case	en
48	4	DET	5	det	en
48	5	NOUN	2	obl	en
49	1	PRON	3	nsubj	tr
49	2	NOUN	3	compound	en
49	3	VERB	5	obl	tr
49	4	ADJ	5	compound	tr
49	5	VERB	7	acl	tr
49	6	NUM	7	nummod	tr
49	7	NOUN	0	root	tr
50	1	PRON	3	nsubj	en
50	2	ADV	3	advmod	en
50	3	VERB	0	root	en
50	4	DET	6	det	en
50	5	NOUN	6	compound	tr
50	6	NOUN	3	obj	tr
50	7	ADP	9	case	en
50	8	ADJ	9	amod	en
50	9	NOUN	6	nmod	en
50	10	ADJ	6	advmod	en
50	11	ADP	12	case	en
50	12	PRON	10	obl	en
50	13	DET	14	det	en
50	14	NOUN	3	obj	tr
50	15	CCONJ	19	cc	en
50	16	DET	19	det	en
50	17	ADJ	19	amod	en
50	18	PROPN	19	compound	en
50	19	NOUN	14	conj	en
51	1	PRON	2	nsubj	en
51	2	VERB	0	root	en
51	3	PRON	5	nsubj	en
51	4	NOUN	5	obl	tr
51	5	VERB	2	ccomp	tr
51	6	SCONJ	9	mark	en
51	7	PRON	9	nsubj	en
