sent_id	tok_i_id	tok_j_id	upos_i	upos_j	deprel_i	deprel_j	lang_i	lang_j	switch	relation
train-s1	1	2	PRON	VERB	nsubj	root	en	en	false	within
train-s1	2	3	VERB	NOUN	root	nsubj	en	hi	true	boundary
train-s1	3	4	NOUN	ADJ	nsubj	ccomp	hi	en	true	within
train-s1	4	5	ADJ	AUX	ccomp	cop	en	hi	true	within
train-s1	5	6	AUX	PART	cop	advmod	hi	hi	false	boundary
train-s1	6	7	PART	NOUN	advmod	advcl	hi	en	true	within
train-s1	7	8	NOUN	AUX	advcl	cop	en	hi	true	within
train-s2	1	2	PRON	NOUN	nsubj	obl	hi	en	true	within
train-s2	2	3	NOUN	ADP	obl	case	en	en	false	boundary
train-s2	3	5	ADP	ADP	case	case	en	hi	true	boundary
train-s2	5	6	ADP	VERB	case	root	hi	hi	false	boundary
train-s2	6	7	VERB	AUX	root	aux	hi	hi	false	within
train-s2	7	8	AUX	AUX	aux	aux	hi	hi	false	within
train-s2	8	9	AUX	CCONJ	aux	cc	hi	en	true	boundary
train-s2	9	10	CCONJ	PRON	cc	nsubj	en	en	false	within
train-s2	10	11	PRON	AUX	nsubj	aux	en	en	false	within
train-s2	11	12	AUX	VERB	aux	conj	en	en	false	within
train-s2	12	13	VERB	ADV	conj	advmod	en	en	false	within
train-s2	13	14	ADV	ADP	advmod	case	en	en	false	boundary
train-s2	14	15	ADP	DET	case	det	en	en	false	within
train-s2	15	16	DET	NOUN	det	obl	en	en	false	within
train-s3	2	3	DET	NOUN	det	nsubj	en	en	false	within
train-s3	3	4	NOUN	PRON	nsubj	nsubj	en	en	false	boundary
train-s3	4	5	PRON	VERB	nsubj	acl	en	en	false	within
train-s3	5	6	VERB	NOUN	acl	compound	en	en	false	boundary
train-s3	6	7	NOUN	NOUN	compound	obj	en	en	false	within
train-s3	7	8	NOUN	AUX	obj	cop	en	en	false	boundary
train-s3	8	10	AUX	VERB	cop	root	en	hi	true	within
train-s3	10	11	VERB	AUX	root	aux	hi	hi	false	within
train-s3	11	12	AUX	NOUN	aux	nmod	hi	en	true	boundary
train-s3	12	13	NOUN	ADP	nmod	case	en	hi	true	within
train-s3	13	14	ADP	NOUN	case	obj	hi	hi	false	boundary
train-s3	14	15	NOUN	ADV	obj	advmod	hi	hi	false	boundary
train-s3	15	16	ADV	NOUN	advmod	compound	hi	en	true	within
train-s3	16	17	NOUN	VERB	compound	advcl	en	hi	true	within
train-s3	17	18	VERB	AUX	advcl	aux	hi	hi	false	within
train-s4	2	3	NOUN	ADP	nmod	case	en	hi	true	within
train-s4	3	5	ADP	ADP	case	case	hi	hi	false	boundary
train-s4	5	6	ADP	PART	case	advmod	hi	hi	false	within
train-s4	6	7	PART	NOUN	advmod	root	hi	hi	false	boundary
train-s4	7	8	NOUN	AUX	root	cop	hi	hi	false	within
train-s4	8	10	AUX	PART	cop	advmod	hi	en	true	boundary
train-s4	10	11	PART	ADV	advmod	advmod	en	en	false	within
train-s5	1	2	PRON	VERB	nsubj	root	en	en	false	within
