sent_id	tok_i_id	tok_j_id	upos_i	upos_j	deprel_i	deprel_j	lang_i	lang_j	switch	relation
1	1	2	NOUN	NOUN	nmod	obj	tr	tr	false	within
1	2	3	NOUN	NOUN	obj	compound	tr	en	true	within
1	3	4	NOUN	VERB	compound	nsubj	en	tr	true	within
1	4	5	VERB	ADJ	nsubj	root	tr	tr	false	within
1	5	6	ADJ	AUX	root	aux	tr	tr	false	within
2	1	2	PRON	VERB	obj	nsubj	tr	tr	false	within
2	2	3	VERB	NOUN	nsubj	root	tr	tr	false	within
2	3	4	NOUN	SCONJ	root	mark	tr	tr	false	boundary
2	4	5	SCONJ	ADV	mark	advmod	tr	en	true	within
2	5	6	ADV	DET	advmod	det	en	en	false	boundary
2	6	7	DET	NOUN	det	nmod	en	tr	true	within
2	7	8	NOUN	NOUN	nmod	obl	tr	tr	false	within
2	8	9	NOUN	NOUN	obl	compound	tr	tr	false	within
2	9	10	NOUN	VERB	compound	acl	tr	tr	false	within
2	10	11	VERB	DET	acl	det	tr	tr	false	within
2	11	12	DET	NOUN	det	conj	tr	tr	false	within
3	1	2	PRON	ADP	advcl	case	tr	tr	false	within
3	2	3	ADP	DET	case	det	tr	tr	false	boundary
3	3	4	DET	NOUN	det	compound	tr	tr	false	within
3	4	5	NOUN	VERB	compound	root	tr	tr	false	within
4	1	2	ADV	VERB	xcomp	root	tr	tr	false	within
4	2	3	VERB	PRON	root	obl	tr	tr	false	within
5	1	2	ADV	VERB	advmod	root	tr	tr	false	within
5	2	3	VERB	NOUN	root	nsubj	tr	tr	false	within
6	1	2	PRON	CCONJ	obl	advmod	tr	tr	false	within
6	2	3	CCONJ	ADP	advmod	compound	tr	en	true	boundary
6	3	4	ADP	DET	compound	det	en	en	false	within
6	4	5	DET	ADJ	det	amod	en	en	false	within
6	5	6	ADJ	NOUN	amod	compound	en	en	false	within
6	6	7	NOUN	VERB	compound	root	en	tr	true	within
6	7	8	VERB	CCONJ	root	discourse	tr	tr	false	within
7	1	2	NOUN	VERB	obl	advcl	tr	tr	false	within
7	2	3	VERB	DET	advcl	det	tr	tr	false	boundary
7	3	4	DET	PROPN	det	obl	tr	tr	false	within
7	4	5	PROPN	VERB	obl	root	tr	tr	false	within
7	5	7	VERB	VERB	root	parataxis	tr	tr	false	within
8	1	2	DET	NOUN	det	obj	tr	tr	false	within
8	2	3	NOUN	VERB	obj	root	tr	tr	false	within
8	3	4	VERB	PRON	root	discourse	tr	tr	false	boundary
8	4	5	PRON	PRON	discourse	nsubj	tr	en	true	within
8	5	6	PRON	AUX	nsubj	aux	en	en	false	within
8	6	7	AUX	VERB	aux	parataxis	en	en	false	within
8	7	8	VERB	PRON	parataxis	obj	en	en	false	within
9	1	2	PRON	CCONJ	discourse	advmod	tr	tr	false	within
9	2	3	CCONJ	NOUN	advmod	nsubj	tr	tr	false	boundary
9	3	4	NOUN	ADV	nsubj	advmod	tr	en	true	within
9	4	5	ADV	ADJ	advmod	root	en	en	false	within
9	5	6	ADJ	AUX	root	aux	en	tr	true	within
9	6	7	AUX	AUX	aux	aux	tr	tr	false	within
10	1	2	PROPN	PROPN	nsubj	flat	tr	tr	false	within
10	2	3	PROPN	VERB	flat	advcl	tr	tr	false	boundary
10	3	4	VERB	PRON	advcl	nsubj	tr	en	true	within
10	4	5	PRON	AUX	nsubj	aux	en	en	false	within
10	5	6	AUX	VERB	aux	root	en	en	false	within
10	6	7	VERB	CCONJ	root	discourse	en	tr	true	within
11	1	2	ADV	ADJ	advmod	amod	tr	tr	false	within
11	2	3	ADJ	VERB	amod	nmod	tr	tr	false	within
11	3	4	VERB	NOUN	nmod	nsubj	tr	tr	false	within
11	4	5	NOUN	PRON	nsubj	obj	tr	tr	false	within
11	5	6	PRON	VERB	obj	root	tr	tr	false	within
12	1	2	PRON	VERB	nsubj	root	en	en	false	within
12	2	3	VERB	CCONJ	root	cc	en	en	false	boundary
12	3	4	CCONJ	VERB	cc	conj	en	en	false	within
12	4	5	VERB	PRON	conj	obj	en	en	false	within
12	5	6	PRON	ADP	obj	case	en	en	false	boundary
12	6	7	ADP	DET	case	det	en	en	false	within
12	7	8	DET	ADV	det	advmod	en	tr	true	boundary
12	8	9	ADV	VERB	advmod	obj	tr	tr	false	within
12	9	10	VERB	VERB	obj	amod	tr	tr	false	within
12	10	11	VERB	ADV	amod	advmod	tr	en	true	within
12	11	12	ADV	NOUN	advmod	obl	en	en	false	within
13	1	2	NOUN	NOUN	compound	obj	en	tr	true	within
13	2	3	NOUN	NOUN	obj	compound	tr	tr	false	within
13	3	4	NOUN	VERB	compound	root	tr	tr	false	within
14	1	2	CCONJ	ADV	discourse	advmod	tr	tr	false	boundary
14	2	3	ADV	ADJ	advmod	amod	tr	tr	false	within
14	3	4	ADJ	CCONJ	amod	cc	tr	tr	false	within
14	4	5	CCONJ	ADJ	cc	conj	tr	tr	false	within
14	5	6	ADJ	PRON	conj	root	tr	tr	false	boundary
14	6	7	PRON	ADV	root	advmod	tr	en	true	boundary
14	7	8	ADV	ADJ	advmod	parataxis	en	en	false	within
14	8	9	ADJ	CCONJ	parataxis	cc	en	en	false	boundary
